Timestamp,Observation Date,Observation Time,Observation Date + Time,Rip Current Activity,Rip Strength (within 1 hour of observation time) [Salt Creek Beach],Rip Presence,Rip Strength (within 1 hour of observation time) [Strand Beach],"Rip Behavior (""0"" if rips are listed above as not present or unknown) [Salt Creek Beach]","Rip Behavior (""0"" if rips are listed above as not present or unknown) [Strand Beach]",Average Surf Height (ft) (for both beaches) within 1 hour of observation time,Maximum Surf Height (ft) (for both beaches) within 1 hour of observation time,Number of rip rescues:,Comments:,Observer ID:,Water Temperature (degrees F):,Wave Period (seconds):
11/20/2020 14:07:31,11/20/2020,2:07:00 PM,11/20/2020 2:07:00 PM,,,0,,,,3,,0,,churma test,,
11/20/2020 14:54:54,11/20/2020,2:54:00 PM,11/20/2020 2:54:00 PM,1,,0,,,,7,,0,,churma test,,
11/20/2020 14:55:05,11/20/2020,2:54:00 PM,11/20/2020 2:54:00 PM,1,,0,,,,7,,0,,churma test,,
11/20/2020 14:55:22,11/20/2020,2:54:00 PM,11/20/2020 2:54:00 PM,1,,0,,,,7,,0,,churma test,,
11/20/2020 14:55:54,11/20/2020,2:54:00 PM,11/20/2020 2:54:00 PM,1,,0,,,,7,,0,,churma test,,
11/20/2020 14:56:38,11/20/2020,2:56:00 PM,11/20/2020 2:56:00 PM,2,,0,,,,2,,1,,churma test,,
11/20/2020 14:57:02,11/20/2020,2:56:00 PM,11/20/2020 2:56:00 PM,2,,0,,,,2,,1,,churma test,,
11/20/2020 16:02:07,11/20/2020,4:01:00 PM,11/20/2020 4:01:00 PM,2,,0,,,,8,,66,,churma TEST,,
11/20/2020 16:36:10,11/20/2020,4:25:00 PM,11/20/2020 4:25:00 PM,0,,0,,,,1,,0,,churma,,
11/20/2020 16:37:44,11/20/2020,4:37:00 PM,11/20/2020 4:37:00 PM,0,,0,,,,0,,0,,churma TEST,,
11/23/2020 14:35:32,11/23/2020,11:30:00 AM,11/23/2020 11:30:00 AM,1,,0,,,,3,,1,,TEST,,
12/1/2020 16:38:55,12/1/2020,4:35:00 PM,12/1/2020 4:35:00 PM,0,,0,,,,0,1,0,TEST,churma,,
12/4/2020 12:45:03,12/4/2020,4:35:00 PM,12/4/2020 4:35:00 PM,,0,0,2,,,0,3,0,TEST,churma,,
12/22/2020 17:38:30,12/22/2020,5:31:00 PM,12/22/2020 5:31:00 PM,,1,0,1,1,2,5,7,11,TEST TEST,churma,,
1/4/2021 17:18:13,1/4/2021,5:15:00 PM,1/4/2021 5:15:00 PM,,0,0,1,,2,4,5,0,Test,Churma,,
1/6/2021 11:18:51,1/6/2021,8:00:00 AM,1/6/2021 8:00:00 AM,,3,1,3,1,2,2,7,0,TEST,CO,,
1/6/2021 12:10:16,1/6/2021,9:00:00 AM,1/6/2021 9:00:00 AM,,3,1,3,1,1,4,6,0,,"OC Lifeguards, Jason Ross",,
2/28/2021 18:49:55,2/28/2021,4:00:00 PM,2/28/2021 4:00:00 PM,,0,0,0,0,0,1,3,0,,Weissman,57,14
3/5/2021 10:34:12,1/1/2001,12:00:00 AM,1/1/2001 12:00:00 AM,,,0,,0,0,0,0,0,Test,test,33,33
3/7/2021 20:02:37,3/7/2021,3:00:00 PM,3/7/2021 3:00:00 PM,,1,0,1,1,1,3,4,0,,Weissman,59,
3/14/2021 21:20:34,3/14/2021,5:00:00 PM,3/14/2021 5:00:00 PM,,0,0,0,0,0,1,1,0,,Weissman,57,
3/29/2021 17:58:52,3/29/2021,3:00:00 PM,3/29/2021 3:00:00 PM,,0,0,0,0,0,2,4,0,,Weissman,59,
4/9/2021 17:31:59,4/9/2021,2:30:00 PM,4/9/2021 2:30:00 PM,,3,1,3,1,1,3,4,4,,Jason Ross,61,9
4/23/2021 21:19:51,4/23/2021,6:00:00 PM,4/23/2021 6:00:00 PM,,2,1,2,2,2,4,6,0,,5670,62,22
4/25/2021 18:38:58,4/25/2021,3:30:00 PM,4/25/2021 3:30:00 PM,,3,1,3,1,1,5,7,4,,Patton,60,16
4/25/2021 18:50:50,4/25/2021,3:30:00 PM,4/25/2021 3:30:00 PM,,2,1,2,1,1,6,7,0,,Cara,65,18
4/26/2021 19:35:54,4/26/2021,2:30:00 PM,4/26/2021 2:30:00 PM,,2,1,1,2,2,3,4,0,Long period south short interval north west,Colton Crockett,61,16
4/27/2021 15:54:41,4/27/2021,12:50:00 PM,4/27/2021 12:50:00 PM,,2,1,1,1,1,2,3,0,,"Orta, Juan",61,13
4/29/2021 18:57:17,4/29/2021,3:55:00 PM,4/29/2021 3:55:00 PM,,3,1,2,1,1,3,4,1,,"Orta,Juan",59,16
4/30/2021 21:04:29,4/30/2021,6:00:00 PM,4/30/2021 6:00:00 PM,,3,1,3,2,2,5,5,5,,5670,60,16
5/1/2021 19:15:30,4/1/2021,3:30:00 PM,4/1/2021 3:30:00 PM,,3,1,3,1,1,5,6,3,,Cara,60,19
5/3/2021 21:03:37,5/3/2021,6:00:00 PM,5/3/2021 6:00:00 PM,,2,1,2,1,1,3,7,0,,Wilson,59,14
5/4/2021 19:53:07,5/4/2021,4:45:00 PM,5/4/2021 4:45:00 PM,,2,1,2,1,1,4,5,10,,JPatton,60,20
5/4/2021 22:53:10,5/4/2021,4:00:00 PM,5/4/2021 4:00:00 PM,,3,1,2,2,1,4,5,1,,Weissman,,
5/5/2021 21:06:50,5/5/2021,4:30:00 PM,5/5/2021 4:30:00 PM,,1,0,1,1,1,2,3,0,,Cara,63,12
5/7/2021 19:30:47,5/7/2021,4:30:00 PM,5/7/2021 4:30:00 PM,,1,0,1,2,2,2,4,0,,Wilson,63,12
5/11/2021 19:23:38,5/11/2021,4:00:00 PM,5/11/2021 4:00:00 PM,,1,0,0,1,0,2,3,0,,Weissman,,
5/12/2021 20:54:24,5/12/2021,5:50:00 PM,5/12/2021 5:50:00 PM,,2,1,1,1,1,3,6,0,,Cara,64,10
5/13/2021 20:12:15,5/13/2021,5:00:00 PM,5/13/2021 5:00:00 PM,,2,1,2,1,2,3,5,0,,Cara,62,10
5/14/2021 22:53:30,5/14/2021,7:00:00 PM,5/14/2021 7:00:00 PM,,2,1,2,1,1,3,6,0,,Wilson,61,14
5/17/2021 18:32:21,5/17/2021,3:30:00 PM,5/17/2021 3:30:00 PM,,2,1,1,1,1,4,5,0,,Colton Crockett,65,15
5/18/2021 21:41:58,5/18/2021,6:00:00 PM,5/18/2021 6:00:00 PM,,2,1,2,1,1,4,6,0,,Weissman,,
5/20/2021 17:36:26,5/20/2021,12:00:00 PM,5/20/2021 12:00:00 PM,,3,1,2,1,1,3,5,0,"There is 8 second wave period West swell, a 16 second SSW swell and a 23 second South swell.","Orta, Juan",62,8
5/21/2021 20:36:55,5/21/2021,5:30:00 PM,5/21/2021 5:30:00 PM,,3,1,3,1,1,5,7,0,,Cara,64,18
5/24/2021 17:13:30,5/24/2021,2:00:00 PM,5/24/2021 2:00:00 PM,,2,1,1,2,2,3,4,0,,Colton Crockett,63,10
5/25/2021 20:14:01,5/25/2021,5:00:00 PM,5/25/2021 5:00:00 PM,,1,0,0,1,1,3,4,1,,Weissman,63,
5/28/2021 23:26:55,5/28/2021,4:00:00 PM,5/28/2021 4:00:00 PM,,2,1,1,2,2,2,5,4,Small nw + s swells,Wilson,64,13
5/29/2021 21:36:44,5/29/2021,4:00:00 PM,5/29/2021 4:00:00 PM,,2,1,2,2,2,3,5,10,,Wilson,65,13
5/31/2021 19:26:54,5/31/2021,4:25:00 PM,5/31/2021 4:25:00 PM,,2,1,1,1,1,3,4,0,,Colton Crockett,65,15
6/2/2021 21:31:01,6/2/2021,6:30:00 PM,6/2/2021 6:30:00 PM,,3,1,3,1,1,5,7,0,,Cara,,
6/3/2021 20:28:24,6/2/2021,3:00:00 PM,6/2/2021 3:00:00 PM,,3,1,3,1,1,5,6,3,,Herzog,65,9
6/5/2021 20:28:46,6/4/2021,4:00:00 PM,6/4/2021 4:00:00 PM,,3,1,2,2,2,4,8,3,,Wilson,66,16
6/5/2021 20:32:46,6/5/2021,4:00:00 PM,6/5/2021 4:00:00 PM,,2,1,2,2,2,3,7,5,,Wilson,66,16
6/7/2021 17:28:54,6/7/2021,2:30:00 PM,6/7/2021 2:30:00 PM,,2,1,2,1,1,3,5,6,,5703,65,14
6/11/2021 23:26:15,6/11/2021,4:00:00 PM,6/11/2021 4:00:00 PM,,2,1,1,2,2,2,4,5,,Wilson,63,10
6/13/2021 20:14:25,6/13/2022,4:50:00 PM,6/13/2022 4:50:00 PM,,2,1,2,2,2,4,4,15,,Colton crockett,65,7
6/15/2021 20:20:15,6/23/1994,3:00:00 PM,6/23/1994 3:00:00 PM,,3,1,2,1,1,3,4,15,,OC lifeguards,65,14
6/16/2021 21:51:25,6/16/2021,7:00:00 PM,6/16/2021 7:00:00 PM,,2,1,2,1,1,4,4,15,,5703,66,10
6/17/2021 21:48:52,6/16/2021,4:00:00 PM,6/16/2021 4:00:00 PM,,2,1,2,1,1,3,4,8,,OC lifeguards,66,12
6/19/2021 19:10:43,6/19/2021,4:00:00 PM,6/19/2021 4:00:00 PM,,1,0,1,1,1,3,4,6,,Ross,65,12
6/19/2021 23:04:34,6/19/2021,5:00:00 PM,6/19/2021 5:00:00 PM,,1,0,1,1,1,3,5,0,,Weissman,65,
6/22/2021 19:04:16,6/22/2021,4:00:00 PM,6/22/2021 4:00:00 PM,,3,1,3,1,1,5,7,6,,Ross,65,15
6/23/2021 20:10:09,6/23/2021,5:00:00 PM,6/23/2021 5:00:00 PM,,3,1,3,1,1,5,7,1,Strong longshore current from the south,Max Fleming,65,13
6/26/2021 1:30:58,6/25/2021,4:00:00 PM,6/25/2021 4:00:00 PM,,2,1,2,2,2,2,5,2,,Wilson,63,12
6/26/2021 13:42:39,6/26/2021,11:00:00 AM,6/26/2021 11:00:00 AM,,1,0,1,1,1,3,4,2,,Jason Ross,63,13
6/29/2021 19:55:34,6/29/2021,4:53:00 PM,6/29/2021 4:53:00 PM,,2,1,1,1,1,2,4,4,,Landgraf,64,30
7/1/2021 19:41:20,7/1/2021,4:00:00 PM,7/1/2021 4:00:00 PM,,3,1,2,1,1,4,5,5,,Herzog,68,10
7/2/2021 19:55:33,7/2/2021,5:00:00 PM,7/2/2021 5:00:00 PM,,2,1,2,1,2,4,6,4,,Cara,68,9
7/3/2021 18:48:05,7/3/2021,3:46:00 PM,7/3/2021 3:46:00 PM,,2,1,2,1,1,4,4,3,,Crockett,66,15
7/6/2021 19:52:33,7/6/2021,4:49:00 PM,7/6/2021 4:49:00 PM,,3,1,2,1,1,3,5,20,,Jack Landgraf,64,20
7/8/2021 18:57:29,7/8/2021,4:00:00 PM,7/8/2021 4:00:00 PM,,3,1,2,2,2,4,5,8,,Herzog,66,10
7/9/2021 19:41:21,7/9/2021,4:40:00 PM,7/9/2021 4:40:00 PM,,2,1,2,1,2,3,4,4,,Cara,68,8
7/10/2021 22:09:37,7/10/2021,4:00:00 PM,7/10/2021 4:00:00 PM,,3,1,2,1,1,5,6,25,Above average southwest swell combined with warm waters led to a busy day for our lifeguards.,Max Fleming,68,10
7/13/2021 20:18:44,2021-07-13 17:00:00,5:00:00 PM,7/14/2021 10:00:00 AM,,3,1,2,1,1,4,6,12,,Jason ross,71,14
7/15/2021 20:33:41,2021-07-15 15:00:00,3:00:00 PM,7/16/2021 6:00:00 AM,,3,1,2,1,1,4,5,6,,Herzog,72,16
7/17/2021 19:23:12,2021-07-17 16:11:00,4:11:00 PM,7/18/2021 8:22:00 AM,,2,1,2,1,1,4,4,7,,Colton Crockett,71,15
7/17/2021 22:47:59,2021-07-17 16:00:00,4:00:00 PM,7/18/2021 8:00:00 AM,,3,1,2,1,1,4,6,15,"Busy day for lifeguards, well handled with great hustle.",Ben Bandettini,73,10
7/24/2021 13:57:09,2021-07-24 11:00:00,11:00:00 AM,7/24/2021 10:00:00 PM,,1,0,1,1,1,3,3,0,,Colton Crockett,70,15
7/25/2021 19:47:13,2021-07-25 16:00:00,4:00:00 PM,7/26/2021 8:00:00 AM,,3,1,2,2,2,4,5,15,,57Moos,70,12
7/27/2021 18:22:12,2021-07-27 15:20:00,3:20:00 PM,7/28/2021 6:40:00 AM,,2,1,2,1,1,4,5,10,,5703,65,5
7/30/2021 20:28:02,7/30/2021,5:00:00 PM,7/30/2021 5:00:00 PM,,1,0,1,1,1,1,2,0,,Cara,,
7/31/2021 20:28:07,7/31/2021,5:00:00 PM,7/31/2021 5:00:00 PM,,1,0,1,1,1,1,2,0,,Cara,,
7/31/2021 21:53:02,7/31/2021,6:51:00 PM,7/31/2021 6:51:00 PM,,1,0,1,1,2,2,2,0,Small surf; windy as well,Ben Bandettini,61,10
8/13/2021 20:50:50,8/13/2021,6:00:00 PM,8/13/2021 6:00:00 PM,,2,1,1,2,2,3,6,6,,Wilson,66,12
8/15/2021 19:48:05,8/15/2021,1:00:00 PM,8/15/2021 1:00:00 PM,,2,1,2,2,2,3,4,10,,Moos,64,16
8/16/2021 21:33:18,8/16/2021,6:31:00 PM,8/16/2021 6:31:00 PM,,1,0,1,2,2,2,4,6,,5670,70,10
8/17/2021 17:51:23,8/17/2021,3:00:00 PM,8/17/2021 3:00:00 PM,,2,1,2,1,1,3,4,4,,Colton Crockett,70,15
8/18/2021 20:54:33,8/18/2021,6:00:00 PM,8/18/2021 6:00:00 PM,,3,1,3,2,2,6,12,2,,Wilson,69,19
8/19/2021 20:29:01,8/19/2021,5:30:00 PM,8/19/2021 5:30:00 PM,,3,1,3,1,1,5,12,2,,Wilson,70,18
8/20/2021 22:06:20,8/20/2021,4:00:00 PM,8/20/2021 4:00:00 PM,,3,1,3,1,1,6,8,6,"Pumping swell, lifeguards performed excellently.",Ben Bandettini,70,10
8/21/2021 18:46:06,8/21/2021,10:00:00 AM,8/21/2021 10:00:00 AM,,1,0,1,0,0,2,3,10,N/A,Colton Crockett,68,10
8/23/2021 18:46:18,8/23/2021,3:45:00 PM,8/23/2021 3:45:00 PM,,1,0,1,2,2,2,3,0,,5760,66,14
8/27/2021 17:57:42,8/27/2021,3:00:00 PM,8/27/2021 3:00:00 PM,,1,0,1,2,2,2,2,1,Smaller surf led to more ma0geable rip currents.,Ben Bandettini,66,8
8/28/2021 20:48:54,8/28/2021,6:00:00 PM,8/28/2021 6:00:00 PM,,1,0,1,1,1,1,3,0,,Wilson,64,10
9/2/2021 19:11:35,9/2/2021,4:10:00 PM,9/2/2021 4:10:00 PM,,1,0,1,2,2,2,3,1,,5760,67,12
9/3/2021 21:17:09,9/3/2021,6:00:00 PM,9/3/2021 6:00:00 PM,,1,0,1,2,2,1,3,1,,Wilson,65,12
9/6/2021 20:24:47,9/6/2021,1:00:00 PM,9/6/2021 1:00:00 PM,,3,1,2,1,2,3,5,15,"Strong south swell, current going north.",Moos,68,14
9/7/2021 19:49:27,9/7/2021,4:48:00 PM,9/7/2021 4:48:00 PM,,2,1,2,1,1,4,5,0,,Crockett,69,15
9/8/2021 22:09:10,9/8/2021,7:00:00 PM,9/8/2021 7:00:00 PM,,1,0,1,2,2,2,6,0,,Wilson,67,12
9/9/2021 21:56:38,9/9/2021,6:55:00 PM,9/9/2021 6:55:00 PM,,2,1,2,2,2,3,5,3,,5761,70,12
9/10/2021 21:48:37,9/10/2021,6:45:00 PM,9/10/2021 6:45:00 PM,,1,0,1,2,2,2,4,1,,5670,66,12
9/12/2021 20:47:49,9/12/2021,5:45:00 PM,9/12/2021 5:45:00 PM,,3,1,3,2,2,4,5,2,,Crockett,65,15
9/13/2021 22:27:03,9/13/2021,6:30:00 PM,9/13/2021 6:30:00 PM,,3,1,3,2,2,5,8,1,,5670,67,17
9/15/2021 21:32:30,9/15/2021,6:31:00 PM,9/15/2021 6:31:00 PM,,2,1,2,2,2,5,8,0,,5761,66,18
9/15/2021 21:32:30,9/17/2021,6:00:00 PM,9/17/2021 6:00:00 PM,,1,0,1,1,1,3,4,0,,Max Fleming,66,13
9/18/2021 21:46:45,9/18/2021,6:00:00 PM,9/18/2021 6:00:00 PM,,2,1,2,2,2,4,4,3,,Cara,66,
9/19/2021 20:02:15,9/19/2021,5:00:00 PM,9/19/2021 5:00:00 PM,,1,0,1,2,2,3,4,0,,Crockett,64,14
9/21/2021 16:46:39,9/21/2021,1:45:00 AM,9/21/2021 1:45:00 AM,,2,1,2,2,2,2,4,1,,5760,66,12
9/22/2021 23:45:45,9/22/2021,4:00:00 PM,9/22/2021 4:00:00 PM,,1,0,0,1,1,2,3,0,,Jason Ross,68,11
9/24/2021 15:48:48,9/24/2021,12:47:00 PM,9/24/2021 12:47:00 PM,,2,1,2,2,2,3,4,0,,Crockett,64,15
9/25/2021 20:48:42,9/25/2021,5:30:00 PM,9/25/2021 5:30:00 PM,,2,1,1,1,2,3,4,8,,Max Fleming,65,14
9/27/2021 21:20:01,9/27/2021,6:19:00 PM,9/27/2021 6:19:00 PM,,1,0,1,2,2,4,6,1,,5761,66,16
9/28/2021 21:29:18,9/28/2021,4:30:00 PM,9/28/2021 4:30:00 PM,,3,1,3,2,2,4,6,3,,5760,64,15
9/29/2021 23:47:58,9/29/2021,3:00:00 PM,9/29/2021 3:00:00 PM,,2,1,1,1,2,3,4,1,,Jason Ross,66,14
10/1/2021 18:39:48,10/1/2021,3:30:00 PM,10/1/2021 3:30:00 PM,,2,1,2,2,2,4,4,2,,Colton Crockett,65,14
10/2/2021 21:44:36,10/2/2021,7:00:00 PM,10/2/2021 7:00:00 PM,,2,1,1,2,2,2,4,1,,Wilson,64,12
10/3/2021 17:01:19,10/3/2021,2:00:00 PM,10/3/2021 2:00:00 PM,,1,0,1,2,2,3,3,0,,Crockett,64,15
10/4/2021 21:55:08,10/4/2021,7:00:00 PM,10/4/2021 7:00:00 PM,,1,0,1,2,2,2,4,0,,Wilson,65,12
